Ducati data

Average power   ZCR     Spectral centroid   Bandwidth           Tempo
	0.104		0.064 		1848.276		1892.573-2584.936	103.359
	0.127		0.098 		2545.795		1879.064-3125.244	103.359
	0.12		0.11 		2500.896		1717.284-3080.083	135.999
	0.113		0.079 		2328.516		2041.303-2653.648	161.499
	0.14		0.063 		1780.919		2002.546-2626.316	103.359
	0.116		0.075 		1877.595		1977.014-2614.791	123.047
	0.121		0.121 		2392.543		1943.674-2689.245	103.359
	0.116		0.073 		1792.526		1663.371-2557.875	112.347
	0.13		0.095 		2601.565		2256.732-2763.839	95.703
	0.107		0.141 		2475.717		2071.918-2768.42	143.555
	0.109		0.091 		2191.278		2078.081-2700.262	143.555
	0.114		0.067 		1805.016		1916.697-2532.51	135.999
	0.077		0.065 		1573.48		    1796.908-2592.848	161.499
	0.108		0.147 		2516.173		1928.092-2993.716	123.047
	0.106		0.141 		2475.801		2074.046-2765.521	184.57
	0.116		0.096 		2106.513		1543.639-2737.078	103.359
	0.115		0.088 		1990.339		1916.756-2833.004	151.999
	0.112		0.092 		1965.318		1751.69-2485.477	172.266
	0.116		0.096 		2045.32		    1549.67-2807.873	117.454
	0.115		0.1 		2031.278		1909.859-2717.341	172.266
	0.109		0.094 		2214.559		2085.674-2715.405	143.555
	0.11		0.089 		2094.126		1894.836-2574.789	123.047
	0.114		0.067 		1801.282		1960.538-2616.372	161.499
	0.11		0.054 		1634.923		1534.593-2449.308	103.359
	0.108		0.05 		1578.984		1437.633-2627.195	143.555
	0.105		0.049 		1667.258		1820.08-2432.738	198.768
	0.104		0.063 		1824.151		1811.744-2573.693	143.555
	0.094		0.077 		1960.953		1869.302-2568.48	117.454
	0.111		0.053 		1624.53		    1434.931-2452.435	123.047
	0.107		0.059 		1771.354		1560.579-2581.526	99.384
	0.126		0.111 		2681.7		    2150.417-3042.776	161.499
	0.13		0.108 		2654.63		    2168.772-2871.443	112.347
	0.122		0.106 		2592.069		2224.0-2996.168	    112.347
	0.119		0.11 		2175.417		1831.708-2942.483	103.359
	0.123		0.079 		1698.584		1695.078-2604.733	135.999

0.113264706		0.088		2091.788235			132.3051471
