Yamaha data

Average power   	ZCR     	Spectral centroid   	Bandwidth           Tempo
   	0.069		0.171 		2846.186		2170.537-3009.337	135.999
	0.111		0.102 		2088.09		    1135.242-2812.726	151.999
	0.068		0.173 		3153.861		2052.72-3045.115	99.384
	0.044		0.12 		2405.087		2310.5-2812.55	    143.555
	0.042		0.101 		2188.888		2022.78-3101.721	107.666
	0.061		0.1 		1986.501		1668.856-2454.909	161.499
	0.037		0.137 		2141.962		1734.85-2784.673	64.6
	0.045		0.161 		2682.136		2079.076-2640.166	103.359
	0.092		0.184 		3077.431		2468.032-3084.02	107.666
	0.095		0.156 		2880.33		    2077.276-3209.645	92.285
	0.122		0.154 		2806.418		2251.04-3187.842	112.347
	0.119		0.122 		2199.706		1538.209-2717.731	123.047
	0.038		0.152 		2491.67		    1658.573-2425.6	    143.555
	0.032		0.116 		1935.55		    1509.206-2231.14	123.047
	0.05		0.141 		2455.493		2158.358-2868.594	151.999
	0.079		0.121 		2204.015		1696.111-2774.11	143.555
	0.094		0.181 		3056.893		2502.926-2975.506	117.454
	0.039		0.1 		1739.014		1279.82-2488.74	    123.047
	0.123		0.121 		2011.32		    1392.364-2590.27	64.6
	0.057		0.101 		1276.572		863.05-2572.227	    172.266
	0.061		0.152 		2676.713		2043.579-2672.813	107.666
	0.048		0.129 		2303.127		1882.496-2647.919	135.999
	0.045		0.157 		2736.645		2292.145-3141.995	123.047
	0.112		0.151 		2806.979		2277.135-3018.206	86.133
	0.049		0.103 		1845.65		    1560.449-2145.466	161.499
	0.059		0.155 		2896.997		2438.09-3280.981	112.347
	0.032		0.069 		1894.581		2040.987-2578.987	112.347
	0.029		0.107 		2259.551		2159.62-2612.305	129.199
	0.058		0.123 		2319.51		    2028.551-2674.257	129.199
	0.052		0.186 		3342.238		2053.962-3307.049	129.199

	0.065275862	0.13362069	2409.066483		#DIV/0!	#DIV/0!		121.8606552
